Row(hour=19, hourly_arrests=330763)
Row(hour=0, hourly_arrests=326416)
Row(hour=22, hourly_arrests=323516)
Row(hour=7, hourly_arrests=130299)
Row(hour=6, hourly_arrests=89800)
Row(hour=9, hourly_arrests=245697)
Row(hour=17, hourly_arrests=293000)
Row(hour=5, hourly_arrests=76285)
Row(hour=1, hourly_arrests=185828)
Row(hour=10, hourly_arrests=241402)
Row(hour=3, hourly_arrests=124522)
Row(hour=12, hourly_arrests=327281)
Row(hour=8, hourly_arrests=194829)
Row(hour=11, hourly_arrests=255168)
Row(hour=2, hourly_arrests=155351)
Row(hour=4, hourly_arrests=92972)
Row(hour=13, hourly_arrests=275314)
Row(hour=18, hourly_arrests=315714)
Row(hour=14, hourly_arrests=293871)
Row(hour=21, hourly_arrests=327930)
Row(hour=15, hourly_arrests=307399)
Row(hour=23, hourly_arrests=266646)
Row(hour=20, hourly_arrests=333495)
Row(hour=16, hourly_arrests=288346)
