,cols,rows,like,match,col_pos,order
1,1,1,0.45,0.30,1,1
2,1,2,0.50,0.30,1,2
3,1,3,0.50,0.30,1,3
4,1,4,0.55,0.30,1,4
5,1,5,0.70,0.50,1,5
6,1,6,0.60,0.30,1,6
7,1,7,0.60,0.30,1,7
8,1,8,0.55,0.20,1,8
9,1,9,0.55,0.30,1,9
10,1,10,0.55,0.30,1,10
11,4,1,0.50,0.28,2.5,1
12,4,2,0.28,0.11,2.5,2
13,4,3,0.28,0.11,2.5,3
14,4,4,0.36,0.11,2.5,4
15,4,5,0.42,0.11,2.5,5
16,4,6,0.47,0.28,2.5,6
17,4,7,0.53,0.33,2.5,7
18,4,8,0.47,0.28,2.5,8
19,4,9,0.53,0.33,2.5,9
20,4,10,0.47,0.22,2.5,10
21,4,11,0.36,0.06,2.5,11
22,4,12,0.42,0.17,2.5,12
23,4,13,0.47,0.22,2.5,13
24,4,14,0.53,0.33,2.5,14
25,4,15,0.33,0.06,2.5,15
26,4,16,0.36,0.11,2.5,16
27,4,17,0.50,0.22,2.5,17
28,4,18,0.44,0.28,2.5,18
29,5,1,0.53,0.32,4,1
30,5,2,0.47,0.21,4,2
31,5,3,0.53,0.32,4,3
32,5,4,0.53,0.21,4,4
33,5,5,0.47,0.21,4,5
34,5,6,0.63,0.42,4,6
35,5,7,0.47,0.21,4,7
36,5,8,0.42,0.32,4,8
37,5,9,0.47,0.32,4,9
38,5,10,0.47,0.32,4,10
39,6,1,0.40,0.00,5.5,1
40,6,2,0.50,0.20,5.5,2
41,6,3,0.50,0.20,5.5,3
42,6,4,0.50,0.20,5.5,4
43,6,5,0.60,0.40,5.5,5
44,7,1,0.56,0.31,7,1
45,7,2,0.41,0.19,7,2
46,7,3,0.28,0.13,7,3
47,7,4,0.41,0.06,7,4
48,7,5,0.44,0.25,7,5
49,7,6,0.44,0.00,7,6
50,7,7,0.47,0.13,7,7
51,7,8,0.41,0.13,7,8
52,7,9,0.50,0.25,7,9
53,7,10,0.31,0.06,7,10
54,7,11,0.34,0.25,7,11
55,7,12,0.31,0.06,7,12
56,7,13,0.47,0.19,7,13
57,7,14,0.44,0.13,7,14
58,7,15,0.59,0.31,7,15
59,7,16,0.50,0.25,7,16
60,8,1,0.55,0.30,8.5,1
61,8,2,0.35,0.10,8.5,2
62,8,3,0.35,0.00,8.5,3
63,8,4,0.55,0.30,8.5,4
64,8,5,0.45,0.30,8.5,5
65,8,6,0.45,0.20,8.5,6
66,8,7,0.30,0.00,8.5,7
67,8,8,0.40,0.10,8.5,8
68,8,9,0.55,0.30,8.5,9
69,8,10,0.35,0.20,8.5,10
70,9,1,0.48,0.20,10,1
71,9,2,0.40,0.20,10,2
72,9,3,0.53,0.20,10,3
73,9,4,0.48,0.20,10,4
74,9,5,0.45,0.10,10,5
75,9,6,0.40,0.15,10,6
76,9,7,0.38,0.05,10,7
77,9,8,0.35,0.10,10,8
78,9,9,0.35,0.10,10,9
79,9,10,0.35,0.20,10,10
80,9,11,0.33,0.15,10,11
81,9,12,0.40,0.10,10,12
82,9,13,0.50,0.20,10,13
83,9,14,0.40,0.10,10,14
84,9,15,0.40,0.05,10,15
85,9,16,0.55,0.25,10,16
86,9,17,0.45,0.20,10,17
87,9,18,0.35,0.10,10,18
88,9,19,0.60,0.30,10,19
89,9,20,0.48,0.15,10,20
90,10,1,0.50,0.00,11.5,1
91,10,2,0.33,0.11,11.5,2
92,10,3,0.39,0.22,11.5,3
93,10,4,0.67,0.33,11.5,4
94,10,5,0.50,0.22,11.5,5
95,10,6,0.44,0.11,11.5,6
96,10,7,0.56,0.22,11.5,7
97,10,8,0.50,0.22,11.5,8
98,10,9,0.50,0.22,11.5,9
99,11,1,0.52,0.29,13,1
100,11,2,0.36,0.14,13,2
101,11,3,0.45,0.14,13,3
102,11,4,0.45,0.14,13,4
103,11,5,0.45,0.19,13,5
104,11,6,0.38,0.10,13,6
105,11,7,0.38,0.14,13,7
106,11,8,0.43,0.24,13,8
107,11,9,0.50,0.24,13,9
108,11,10,0.43,0.29,13,10
109,11,11,0.40,0.19,13,11
110,11,12,0.38,0.14,13,12
111,11,13,0.31,0.00,13,13
112,11,14,0.45,0.10,13,14
113,11,15,0.45,0.14,13,15
114,11,16,0.26,0.00,13,16
115,11,17,0.29,0.05,13,17
116,11,18,0.38,0.14,13,18
117,11,19,0.43,0.14,13,19
118,11,20,0.36,0.14,13,20
119,11,21,0.40,0.10,13,21
120,18,1,0.33,0.00,14.5,1
121,18,2,0.50,0.17,14.5,2
122,18,3,0.42,0.00,14.5,3
123,18,4,0.42,0.00,14.5,4
124,18,5,0.42,0.17,14.5,5
125,18,6,0.58,0.17,14.5,6
126,21,1,0.50,0.32,16,1
127,21,2,0.30,0.09,16,2
128,21,3,0.34,0.14,16,3
129,21,4,0.32,0.09,16,4
130,21,5,0.41,0.18,16,5
131,21,6,0.39,0.09,16,6
132,21,7,0.34,0.09,16,7
133,21,8,0.34,0.09,16,8
134,21,9,0.43,0.27,16,9
135,21,10,0.43,0.23,16,10
136,21,11,0.39,0.23,16,11
137,21,12,0.48,0.18,16,12
138,21,13,0.41,0.23,16,13
139,21,14,0.48,0.14,16,14
140,21,15,0.32,0.05,16,15
141,21,16,0.32,0.14,16,16
142,21,17,0.25,0.05,16,17
143,21,18,0.30,0.09,16,18
144,21,19,0.36,0.05,16,19
145,21,20,0.39,0.27,16,20
146,21,21,0.27,0.05,16,21
147,21,22,0.39,0.23,16,22
