"","match","cols","rows","col_pos","buckets"
"1",0,1,1,1,"First"
"2",0,1,2,1,"Near Start"
"3",1,1,3,1,"Middle"
"4",0,1,4,1,"CloseToBack"
"5",1,1,5,1,"Trail"
"6",3,4,1,2,"First"
"7",5,4,2,2,"Near Start"
"8",4,4,3,2,"Middle"
"9",6,4,4,2,"CloseToBack"
"10",6,4,5,2,"Trail"
"11",3,5,1,3,"First"
"12",3,5,2,3,"Near Start"
"13",4,5,3,3,"Middle"
"14",4,5,4,3,"CloseToBack"
"15",3,5,5,3,"Trail"
"16",1,6,1,4,"First"
"17",0,6,2,4,"Near Start"
"18",1,6,3,4,"Middle"
"19",2,6,4,4,"CloseToBack"
"20",1,6,5,4,"Trail"
"21",4,7,1,5,"First"
"22",6,7,2,5,"Near Start"
"23",6,7,3,5,"Middle"
"24",6,7,4,5,"CloseToBack"
"25",8,7,5,5,"Trail"
"26",1,8,1,6,"First"
"27",1,8,2,6,"Near Start"
"28",2,8,3,6,"Middle"
"29",2,8,4,6,"CloseToBack"
"30",1,8,5,6,"Trail"
"31",0,9,1,7,"First"
"32",1,9,2,7,"Near Start"
"33",0,9,3,7,"Middle"
"34",0,9,4,7,"CloseToBack"
"35",1,9,5,7,"Trail"
"36",3,10,1,8,"First"
"37",1,10,2,8,"Near Start"
"38",4,10,3,8,"Middle"
"39",4,10,4,8,"CloseToBack"
"40",3,10,5,8,"Trail"
"41",0,11,1,9,"First"
"42",1,11,2,9,"Near Start"
"43",2,11,3,9,"Middle"
"44",0,11,4,9,"CloseToBack"
"45",0,11,5,9,"Trail"
"46",2,18,1,10,"First"
"47",2,18,2,10,"Near Start"
"48",1,18,3,10,"Middle"
"49",2,18,4,10,"CloseToBack"
"50",2,18,5,10,"Trail"
"51",1,21,1,11,"First"
"52",2,21,2,11,"Near Start"
"53",2,21,3,11,"Middle"
"54",5,21,4,11,"CloseToBack"
"55",3,21,5,11,"Trail"
