"","match","cols","rows","col_pos","buckets"
"1",8,1,1,1,"First"
"2",6,1,2,1,"Near Start"
"3",7,1,3,1,"Middle"
"4",5,1,4,1,"CloseToBack"
"5",6,1,5,1,"Trail"
"6",9,4,1,2,"First"
"7",13,4,2,2,"Near Start"
"8",9,4,3,2,"Middle"
"9",14,4,4,2,"CloseToBack"
"10",14,4,5,2,"Trail"
"11",6,5,1,3,"First"
"12",6,5,2,3,"Near Start"
"13",6,5,3,3,"Middle"
"14",6,5,4,3,"CloseToBack"
"15",7,5,5,3,"Trail"
"16",2,6,1,4,"First"
"17",2,6,2,4,"Near Start"
"18",4,6,3,4,"Middle"
"19",3,6,4,4,"CloseToBack"
"20",3,6,5,4,"Trail"
"21",8,7,1,5,"First"
"22",8,7,2,5,"Near Start"
"23",9,7,3,5,"Middle"
"24",7,7,4,5,"CloseToBack"
"25",10,7,5,5,"Trail"
"26",5,8,1,6,"First"
"27",4,8,2,6,"Near Start"
"28",5,8,3,6,"Middle"
"29",3,8,4,6,"CloseToBack"
"30",5,8,5,6,"Trail"
"31",13,9,1,7,"First"
"32",10,9,2,7,"Near Start"
"33",10,9,3,7,"Middle"
"34",10,9,4,7,"CloseToBack"
"35",14,9,5,7,"Trail"
"36",4,10,1,8,"First"
"37",5,10,2,8,"Near Start"
"38",8,10,3,8,"Middle"
"39",7,10,4,8,"CloseToBack"
"40",6,10,5,8,"Trail"
"41",8,11,1,9,"First"
"42",14,11,2,9,"Near Start"
"43",12,11,3,9,"Middle"
"44",7,11,4,9,"CloseToBack"
"45",11,11,5,9,"Trail"
"46",2,18,1,10,"First"
"47",3,18,2,10,"Near Start"
"48",2,18,3,10,"Middle"
"49",2,18,4,10,"CloseToBack"
"50",5,18,5,10,"Trail"
"51",11,21,1,11,"First"
"52",9,21,2,11,"Near Start"
"53",14,21,3,11,"Middle"
"54",11,21,4,11,"CloseToBack"
"55",9,21,5,11,"Trail"
