Wave,First,Near First,Center,CloseToBack,Trail
Wave1,19,21,26,23,22
Wave2,42,58,50,55,22
Wave3,15,14,13,12,13
Wave4,38,64,53,64,59
Wave5,19,19,20,17,17
Wave6,4,5,5,5,6
Wave7,40,41,44,31,64
Wave8,18,18,18,14,18
Wave9,75,63,57,74,75
Wave10,9,13,21,18,18
Wave11,75,69,72,62,78
Wave12,17,30,29,35,22
Wave13,23,16,18,16,13
Wave14,78,66,58,56,46
Wave15,54,66,64,66,59
Wave16,5,15,8,12,4
Wave17,18,33,26,25,19
Wave18,4,6,5,5,12
Wave19,43,35,45,40,45
Wave20,5,7,9,4,10
Wave21,64,65,94,60,75
